[None, array([98., 95., 87.], dtype=float32), array([0.19507046, 0.194611  , 0.19421683], dtype=float32), 54.20233, array(96., dtype=float32), 41.79767]
[None, array([98., 95., 87.], dtype=float32), array([0.19706848, 0.19660299, 0.1962041 ], dtype=float32), 54.76027, array(96., dtype=float32), 41.23973]
[None, array([98., 95., 87.], dtype=float32), array([0.1990665 , 0.19859497, 0.19819136], dtype=float32), 55.318203, array(96., dtype=float32), 40.681797]
[None, array([98., 95., 87.], dtype=float32), array([0.20106453, 0.20058696, 0.20017862], dtype=float32), 55.876137, array(96., dtype=float32), 40.123863]
[None, array([98., 95., 87.], dtype=float32), array([0.20306255, 0.20257895, 0.20216589], dtype=float32), 56.43408, array(96., dtype=float32), 39.56592]
[None, array([98., 95., 87.], dtype=float32), array([0.20506057, 0.20457093, 0.20415315], dtype=float32), 56.992016, array(96., dtype=float32), 39.007984]
[None, array([98., 95., 87.], dtype=float32), array([0.2070586 , 0.20656292, 0.20614041], dtype=float32), 57.54995, array(96., dtype=float32), 38.45005]
[None, array([98., 95., 87.], dtype=float32), array([0.20905662, 0.20855491, 0.20812768], dtype=float32), 58.107887, array(96., dtype=float32), 37.892113]
[None, array([98., 95., 87.], dtype=float32), array([0.21105464, 0.2105469 , 0.21011494], dtype=float32), 58.665825, array(96., dtype=float32), 37.334175]
[None, array([98., 95., 87.], dtype=float32), array([0.21305266, 0.21253888, 0.2121022 ], dtype=float32), 59.223763, array(96., dtype=float32), 36.776237]
[None, array([98., 95., 87.], dtype=float32), array([0.21505068, 0.21453087, 0.21408947], dtype=float32), 59.7817, array(96., dtype=float32), 36.2183]
[None, array([98., 95., 87.], dtype=float32), array([0.2170487 , 0.21652286, 0.21607673], dtype=float32), 60.339638, array(96., dtype=float32), 35.660362]
[None, array([98., 95., 87.], dtype=float32), array([0.21904673, 0.21851484, 0.218064  ], dtype=float32), 60.897575, array(96., dtype=float32), 35.102425]
[None, array([98., 95., 87.], dtype=float32), array([0.22104475, 0.22050683, 0.22005126], dtype=float32), 61.455505, array(96., dtype=float32), 34.544495]
[None, array([98., 95., 87.], dtype=float32), array([0.22304277, 0.22249882, 0.22203852], dtype=float32), 62.013447, array(96., dtype=float32), 33.986553]
[None, array([98., 95., 87.], dtype=float32), array([0.2250408 , 0.2244908 , 0.22402579], dtype=float32), 62.57138, array(96., dtype=float32), 33.42862]
[None, array([98., 95., 87.], dtype=float32), array([0.22703882, 0.2264828 , 0.22601305], dtype=float32), 63.12932, array(96., dtype=float32), 32.87068]
